============================================================
[START] 2025-09-04 13:15:35
[CMD] C:\Users\owner\AppData\Local\Programs\Python\Python313\python.exe -X faulthandler -u paper_trader.py --host 127.0.0.1 --port 7497 --clientId 19 --conId 637533641 --tp-ladder 1.0R:50,2.0R:50 --no-confirm --place-orders --debug-regime --persist-chooser --chooser-model-path C:\Users\owner\Desktop\es_futures_backtester\models\linucb_state.json
============================================================
================== PAPER MODE ==================
Host:127.0.0.1  Port:7497  ClientId:19
Paper account required (TWS/Gateway set to Paper). Orders WILL be sent (paper).
[CONNECT] Attempt 1/8 to 127.0.0.1:7497 (clientId=19, timeout=60s)
Connected 127.0.0.1:7497 clientId=19 | Market data type: LIVE (1)
Using contract: ESU5  (conId=637533641)
[AUTOROLL] Will warn 7 days before expiry (print-only).
[RISK] Daily loss cap: $1,250.00
[WARMUP] Loaded 7876 historical 1m bars.
[PERSIST] No model yet — will create C:\Users\owner\Desktop\es_futures_backtester\models\linucb_state.json
[PERSIST] Wrapped global chooser 'chooser'
>> LIVE paper trading with adaptive chooser + promotion ladder. Ctrl+C to stop.
[HB] PnL=0.00 | ConsecLoss=0 | Blocked=no | ATRt=9.9 | Sprd=1.0
[HB] PnL=0.01 | ConsecLoss=0 | Blocked=no | ATRt=9.9 | Sprd=1.0
[HB] PnL=0.02 | ConsecLoss=0 | Blocked=no | ATRt=9.9 | Sprd=1.0
[HB] PnL=0.03 | ConsecLoss=0 | Blocked=no | ATRt=9.9 | Sprd=1.0
[HB] PnL=0.04 | ConsecLoss=0 | Blocked=no | ATRt=9.9 | Sprd=1.0
[HB] PnL=0.05 | ConsecLoss=0 | Blocked=no | ATRt=9.9 | Sprd=1.0
[HB] PnL=0.06 | ConsecLoss=0 | Blocked=no | ATRt=9.9 | Sprd=1.0
[HB] PnL=0.07 | ConsecLoss=0 | Blocked=no | ATRt=9.9 | Sprd=1.0
[HB] PnL=0.08 | ConsecLoss=0 | Blocked=no | ATRt=9.9 | Sprd=1.0
[HB] PnL=0.09 | ConsecLoss=0 | Blocked=no | ATRt=9.9 | Sprd=1.0
[HB] PnL=0.10 | ConsecLoss=0 | Blocked=no | ATRt=9.9 | Sprd=1.0
[HB] PnL=0.11 | ConsecLoss=0 | Blocked=no | ATRt=9.9 | Sprd=1.0
[HB] PnL=0.12 | ConsecLoss=0 | Blocked=no | ATRt=9.9 | Sprd=1.0
[HB] PnL=0.13 | ConsecLoss=0 | Blocked=no | ATRt=9.9 | Sprd=1.0
[HB] PnL=0.14 | ConsecLoss=0 | Blocked=no | ATRt=9.9 | Sprd=1.0
[HB] PnL=0.15 | ConsecLoss=0 | Blocked=no | ATRt=9.9 | Sprd=1.0
[HB] PnL=0.16 | ConsecLoss=0 | Blocked=no | ATRt=9.9 | Sprd=1.0
[HB] PnL=0.17 | ConsecLoss=0 | Blocked=no | ATRt=9.9 | Sprd=1.0
[HB] PnL=0.18 | ConsecLoss=0 | Blocked=no | ATRt=9.9 | Sprd=1.0
[HB] PnL=0.19 | ConsecLoss=0 | Blocked=no | ATRt=9.9 | Sprd=1.0
[HB] PnL=0.20 | ConsecLoss=0 | Blocked=no | ATRt=9.9 | Sprd=1.0
[HB] PnL=0.21 | ConsecLoss=0 | Blocked=no | ATRt=9.9 | Sprd=1.0
[HB] PnL=0.22 | ConsecLoss=0 | Blocked=no | ATRt=9.9 | Sprd=1.0
[HB] PnL=0.23 | ConsecLoss=0 | Blocked=no | ATRt=9.9 | Sprd=1.0
[HB] PnL=0.24 | ConsecLoss=0 | Blocked=no | ATRt=9.9 | Sprd=1.0
[HB] PnL=0.25 | ConsecLoss=0 | Blocked=no | ATRt=9.9 | Sprd=1.0
[HB] PnL=0.26 | ConsecLoss=0 | Blocked=no | ATRt=9.9 | Sprd=1.0
[HB] PnL=0.27 | ConsecLoss=0 | Blocked=no | ATRt=9.9 | Sprd=1.0
[HB] PnL=0.28 | ConsecLoss=0 | Blocked=no | ATRt=9.9 | Sprd=1.0
[HB] PnL=0.29 | ConsecLoss=0 | Blocked=no | ATRt=9.9 | Sprd=1.0
[HB] PnL=0.30 | ConsecLoss=0 | Blocked=no | ATRt=9.9 | Sprd=1.0
[HB] PnL=0.31 | ConsecLoss=0 | Blocked=no | ATRt=9.9 | Sprd=1.0
[HB] PnL=0.32 | ConsecLoss=0 | Blocked=no | ATRt=9.9 | Sprd=1.0
[HB] PnL=0.33 | ConsecLoss=0 | Blocked=no | ATRt=9.9 | Sprd=1.0
[HB] PnL=0.34 | ConsecLoss=0 | Blocked=no | ATRt=9.9 | Sprd=1.0
[HB] PnL=0.35 | ConsecLoss=0 | Blocked=no | ATRt=9.9 | Sprd=1.0
[HB] PnL=0.36 | ConsecLoss=0 | Blocked=no | ATRt=9.9 | Sprd=1.0
[HB] PnL=0.37 | ConsecLoss=0 | Blocked=no | ATRt=9.9 | Sprd=1.0
[HB] PnL=0.38 | ConsecLoss=0 | Blocked=no | ATRt=9.9 | Sprd=1.0
[HB] PnL=0.39 | ConsecLoss=0 | Blocked=no | ATRt=9.9 | Sprd=1.0
[HB] PnL=0.40 | ConsecLoss=0 | Blocked=no | ATRt=9.9 | Sprd=1.0
[HB] PnL=0.41 | ConsecLoss=0 | Blocked=no | ATRt=9.9 | Sprd=1.0
[HB] PnL=0.42 | ConsecLoss=0 | Blocked=no | ATRt=9.9 | Sprd=1.0
[HB] PnL=0.43 | ConsecLoss=0 | Blocked=no | ATRt=9.9 | Sprd=1.0
[HB] PnL=0.44 | ConsecLoss=0 | Blocked=no | ATRt=9.9 | Sprd=1.0
[HB] PnL=0.45 | ConsecLoss=0 | Blocked=no | ATRt=9.9 | Sprd=1.0
[HB] PnL=0.46 | ConsecLoss=0 | Blocked=no | ATRt=9.9 | Sprd=1.0
[HB] PnL=0.47 | ConsecLoss=0 | Blocked=no | ATRt=9.9 | Sprd=1.0
[HB] PnL=0.48 | ConsecLoss=0 | Blocked=no | ATRt=9.9 | Sprd=1.0
[HB] PnL=0.49 | ConsecLoss=0 | Blocked=no | ATRt=9.9 | Sprd=1.0
[HB] PnL=0.50 | ConsecLoss=0 | Blocked=no | ATRt=9.9 | Sprd=1.0
[HB] PnL=0.51 | ConsecLoss=0 | Blocked=no | ATRt=9.9 | Sprd=1.0
[HB] PnL=0.52 | ConsecLoss=0 | Blocked=no | ATRt=9.9 | Sprd=1.0
[HB] PnL=0.53 | ConsecLoss=0 | Blocked=no | ATRt=9.9 | Sprd=1.0
[HB] PnL=0.54 | ConsecLoss=0 | Blocked=no | ATRt=9.9 | Sprd=1.0
